Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Board Approval Date,Project Closing Date,Financing Type,Current Project Cost,IBRD Commitment,IDA Commitment,Total IDA and IBRD Commitment,Grant Amount,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Theme 1,Theme 2
P004092,East Asia and Pacific,Republic of Korea,Closed,Gojeong Power Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004092,,1984-12-31T00:00:00Z,,,115000000.0,0.0,115000000.0,0,,Specific Investment Loan,,,(Historic)Thermal,,,,
P004233,East Asia and Pacific,Malaysia,Closed,Population Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004233,,1981-12-31T00:00:00Z,,,5000000.0,0.0,5000000.0,0,,Sector Investment and Maintenance Loan,,,"(Historic)Primary health, including reproductive health, child health and health promotion",,,,
P009174,Europe and Central Asia,"Macedonia, Republic of North",Closed,Agriculture & Agroindustry 2 Project (Macedonia),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P009174,1980-02-01T00:00:00Z,1983-06-30T00:00:00Z,,,24000000.0,0.0,24000000.0,0,,Specific Investment Loan,C,,(Historic)Agricultural credit,,,,
P007361,Latin America and Caribbean,Republic of Honduras,Closed,Industrial Credit Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007361,1981-12-22T00:00:00Z,1987-06-30T00:00:00Z,,,30000000.0,0.0,30000000.0,0,,Financial Intermediary Loan,,,(Historic)Financial sector development,,,,
P003277,Africa East,Republic of Zimbabwe,Closed,Railway Development Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003277,1983-08-02T00:00:00Z,1990-06-30T00:00:00Z,,,40000000.0,0.0,40000000.0,0,,Technical Assistance Loan,,,Railways,,,,
P003446,East Asia and Pacific,People's Republic of China,Closed,Health (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P003446,1986-06-19T00:00:00Z,1996-06-30T00:00:00Z,,,15000000.0,65000000.0,80000000.0,0,,Sector Investment and Maintenance Loan,C,,Health,,,Rural services and infrastructure,Health system performance
P005106,Middle East and North Africa,Arab Republic of Egypt,Closed,CAIRO GAS DIST.,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005106,1986-06-30T00:00:00Z,,,,80000000.0,0.0,80000000.0,0,,,,,"(Historic)Refining, storage and distribution",,,,
P008969,Europe and Central Asia,Republic of Turkey,Closed,Railway Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008969,1986-07-08T00:00:00Z,1993-12-31T00:00:00Z,,,197000000.0,0.0,197000000.0,0,,Sector Investment and Maintenance Loan,C,,Railways,,,,
P006924,Latin America and Caribbean,Republic of Costa Rica,Closed,ATLANTIC AGRICULTURAL DEVELOPMENT,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006924,1986-10-21T00:00:00Z,1997-06-30T00:00:00Z,,,26000000.0,0.0,26000000.0,0,,Specific Investment Loan,C,,Crops,Roads and highways,Central Government (Central Agencies),Export development and competitiveness,Rural markets
P004903,Middle East and North Africa,People's Democratic Republic of Algeria,Closed,National Water Supply & Sewerage Project (02),,,,https://projects.worldbank.org/en/projects-operations/project-detail/P004903,1987-05-26T00:00:00Z,1997-04-30T00:00:00Z,,,250000000.0,0.0,250000000.0,0,,Sector Investment and Maintenance Loan,C,,Sewerage,Water Supply,Central Government (Central Agencies),"Public expenditure, financial management and procurement",Pollution management and environmental health
P007615,Latin America and Caribbean,United Mexican States,Closed,Urban Transport Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P007615,1987-05-28T00:00:00Z,1998-06-30T00:00:00Z,,,125000000.0,0.0,125000000.0,0,,Specific Investment Loan,C,,Roads and highways,Other Transportation,Central Government (Central Agencies),Other urban development,Other financial and private sector development
P005449,Middle East and North Africa,Kingdom of Morocco,Closed,Casablanca Sewerage Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005449,1987-06-02T00:00:00Z,1997-06-30T00:00:00Z,,,60000000.0,0.0,60000000.0,0,,Sector Investment and Maintenance Loan,C,,Sewerage,Central Government (Central Agencies),,Municipal governance and institution building,Administrative and civil service reform
P005968,Latin America and Caribbean,Argentine Republic,Closed,SEGBA V,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P005968,1987-06-23T00:00:00Z,2002-09-14T00:00:00Z,,,276000000.0,0.0,276000000.0,0,,Specific Investment Loan,A,,Power,,,Law reform,Other urban development
P006442,Latin America and Caribbean,Federative Republic of Brazil,Closed,Itaparica Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P006442,1987-11-17T00:00:00Z,1997-12-31T00:00:00Z,,,132000000.0,0.0,132000000.0,0,,Specific Investment Loan,C,,"Other Agriculture, Fishing and Forestry",Social Protection,Other Transportation,Other environment and natural resources management,Rural services and infrastructure
P008138,Latin America and Caribbean,Oriental Republic of Uruguay,Closed,Water Supply Rehabilitation Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P008138,1988-03-22T00:00:00Z,1999-01-30T00:00:00Z,,,22300000.0,0.0,22300000.0,0,,Specific Investment Loan,C,,Water Supply,Central Government (Central Agencies),,Decentralization,Municipal finance
P002099,Africa West,Federal Republic of Nigeria,Closed,Infrastructure Development Fund Project,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P002099,1988-03-29T00:00:00Z,1997-06-30T00:00:00Z,,,69500000.0,0.0,69500000.0,0,,Sector Investment and Maintenance Loan,C,,Roads and highways,Sub-National Government,"Other Water Supply, Sanitation and Waste Management",Municipal finance,Other urban development
